event_id,event_type,location,venue_type,venue_name,guest_count,season,event_date,duration_hours,photography_cost,photographer_name,photographer_contact,photographer_rating,photographer_experience,decoration_cost,decorator_name,decorator_contact,decorator_rating,decorator_experience,catering_cost,catering_per_person,caterer_name,caterer_contact,caterer_rating,caterer_experience,venue_cost,venue_contact,music_dj_cost,music_dj_name,music_dj_contact,music_dj_rating,music_dj_experience,videography_cost,videographer_name,videographer_contact,videographer_rating,videographer_experience,miscellaneous_cost,total_cost,total budget,cost_per_guest,has_music,has_videography,payment_status,booking_advance
EV0449,Engagement,Colombo,Temple Hall,Temple Hall - Colombo,132,Peak Season (Dec-Jan),30/01/2024,8,65225,Creative Lens Studio,077-6196562,4.5,8,75717,Classic Touch,077-4437253,4.4,6,295310,2237,Taste of Ceylon,077-5573719,4.7,12,53296,011-5432646,51688,Rhythm Masters,077-1171587,4.6,9,122918,Cinematic Dreams,077-7977432,4.8,12,52795,782933,"100,448",5931,Yes,Yes,Partial,215640
EV0450,Birthday,Matara,Hotel Ballroom,Hotel Ballroom - Matara,110,Off Season (May-Sep),10/03/2025,8,30206,Dream Shots,077-5387228,4.3,5,32370,Elegant Decor,077-2820194,4.6,8,254705,2315,Elite Catering,077-3003211,4.8,16,140235,011-5312713,40489,Elite Entertainment,077-4391113,4.8,12,82085,Cinematic Dreams,077-2451280,4.8,12,39705,624311,"100,449",5675,Yes,Yes,Partial,149933
EV0451,Engagement,Colombo,Home Garden,Home Garden - Colombo,107,Off Season (May-Sep),25/05/2025,10,33009,Creative Lens Studio,077-1238423,4.5,8,95167,Royal Events Decor,077-3562057,4.9,15,332556,3108,Taste of Ceylon,077-6726860,4.7,12,52321,011-9209904,88818,Music Magic,077-5207762,4.5,7,88207,Motion Pictures,077-3944888,4.6,9,31337,731214,"100,450",6833,Yes,Yes,Paid,213812
EV0452,Wedding,Anuradhapura,Garden Venue,Garden Venue - Anuradhapura,299,Off Season (May-Sep),14/06/2024,5,25329,Vision Studios,077-2092722,4.5,7,41999,Flower Paradise,077-7877386,4.8,12,609855,2039,Divine Dishes,077-9691391,4.6,8,156822,011-6481813,0,N/A,N/A,0,0,38529,Cinematic Dreams,077-1292960,4.8,12,18425,856516,"100,451",2864,No,Yes,Paid,295340
EV0453,Corporate Event,Jaffna,Garden Venue,Garden Venue - Jaffna,280,Peak Season (Dec-Jan),20/05/2024,10,59292,Creative Lens Studio,077-7488875,4.5,8,46175,Royal Events Decor,077-8544230,4.9,15,725004,2589,Taste of Ceylon,077-4987424,4.7,12,130604,011-7728422,77701,Music Magic,077-9230270,4.5,7,94174,Cinema Visions,077-5195013,4.8,11,43284,1208240,"100,452",4315,Yes,Yes,Paid,478494
EV0454,Anniversary,Matara,Home Garden,Home Garden - Matara,177,Peak Season (Dec-Jan),08/05/2025,6,43919,Royal Pictures,077-6921373,4.6,9,79303,Royal Events Decor,077-4491354,4.9,15,258172,1458,Spice Garden Catering,077-7808066,4.5,10,25436,011-5532783,0,N/A,N/A,0,0,0,N/A,N/A,0,0,50035,445445,"100,453",2516,No,No,Partial,130121
EV0455,Anniversary,Matara,Home Garden,Home Garden - Matara,133,Off Season (May-Sep),22/05/2025,6,39610,Royal Pictures,077-2822847,4.6,9,40666,Modern Elegance,077-8588667,4.7,10,190628,1433,Heritage Foods,077-6038538,4.7,13,42418,011-9588972,49019,Elite Entertainment,077-7914190,4.8,12,0,N/A,N/A,0,0,33123,386869,"100,454",2908,Yes,No,Paid,92802
EV0456,Corporate Event,Batticaloa,Temple Hall,Temple Hall - Batticaloa,289,Peak Season (Dec-Jan),19/04/2025,12,37165,Vision Studios,077-9165219,4.5,7,64693,Floral Fantasy,077-6305200,4.6,9,510316,1765,Spice Garden Catering,077-9901791,4.5,10,54214,011-8168291,36666,Live Band Entertainment,077-1592263,4.9,15,0,N/A,N/A,0,0,36637,811953,"100,455",2809,Yes,No,Paid,290185
EV0457,Wedding,Colombo,Hotel Ballroom,Hotel Ballroom - Colombo,319,Peak Season (Dec-Jan),30/05/2024,4,54479,Creative Lens Studio,077-3550420,4.5,8,80005,Modern Elegance,077-3738993,4.7,10,638191,2000,Flavors Catering,077-7965663,4.4,7,249898,011-2993550,54583,Rhythm Masters,077-9930598,4.6,9,69822,Cinematic Dreams,077-7873288,4.8,12,23311,1322617,"100,456",4146,Yes,Yes,Paid,413096
EV0458,Anniversary,Kurunegala,Convention Center,Convention Center - Kurunegala,69,Regular Season,10/08/2024,10,37482,Moments Captured,077-6700506,4.7,12,60986,Stylish Setups,077-2426239,4.5,8,108744,1576,Royal Caterers,077-7207035,4.8,15,105230,011-2577891,31916,Sound Wave DJs,077-3973517,4.7,10,59316,Motion Pictures,077-3263974,4.6,9,11301,441266,"100,457",6395,Yes,Yes,Paid,148033
EV0459,Birthday,Galle,Convention Center,Convention Center - Galle,111,Regular Season,03/11/2025,10,49453,Royal Pictures,077-6144500,4.6,9,37254,Classic Touch,077-5414310,4.4,6,276123,2487,Royal Caterers,077-8531813,4.8,15,234886,011-5631845,62504,DJ Paradise,077-6662609,4.7,11,61052,Video Art Studio,077-1678734,4.5,7,25123,744723,"100,458",6709,Yes,Yes,Paid,260652
EV0460,Anniversary,Galle,Hotel Ballroom,Hotel Ballroom - Galle,73,Off Season (May-Sep),13/08/2025,5,38222,Golden Hour Photography,077-4236382,4.7,13,43944,Elegant Decor,077-9201213,4.6,8,154351,2114,Feast Makers,077-5725154,4.6,9,224011,011-4237011,56022,Sound Wave DJs,077-2397644,4.7,10,0,N/A,N/A,0,0,38905,607569,"100,459",8322,Yes,No,Partial,233157
EV0461,Wedding,Jaffna,Beach Resort,Beach Resort - Jaffna,161,Regular Season,20/03/2024,12,39096,Moments Captured,077-2775578,4.7,12,35969,Flower Paradise,077-3046457,4.8,12,188490,1170,Divine Dishes,077-1942316,4.6,8,222718,011-7906818,31750,Party Beats,077-3327250,4.5,8,71600,Motion Pictures,077-4347412,4.6,9,42205,642051,"100,460",3987,Yes,Yes,Paid,152239
EV0462,Wedding,Colombo,Convention Center,Convention Center - Colombo,257,Off Season (May-Sep),06/10/2025,4,50390,Sunset Photography,077-5416796,4.8,10,50722,Flower Paradise,077-3414120,4.8,12,638285,2483,Heritage Foods,077-4176691,4.7,13,177042,011-7871748,0,N/A,N/A,0,0,88571,Cinematic Dreams,077-3080547,4.8,12,14578,1167263,"100,461",4541,No,Yes,Paid,277388
EV0463,Corporate Event,Negombo,Temple Hall,Temple Hall - Negombo,212,Peak Season (Dec-Jan),08/01/2025,10,55822,Golden Hour Photography,077-8215793,4.7,13,71992,Classic Touch,077-2341365,4.4,6,443345,2091,Feast Makers,077-8481497,4.6,9,59301,011-2100654,30047,Music Magic,077-2480282,4.5,7,42642,Video Art Studio,077-6341832,4.5,7,52961,727438,"100,462",3431,Yes,Yes,Paid,247048
EV0464,Engagement,Galle,Restaurant,Restaurant - Galle,161,Regular Season,28/01/2025,12,41805,Perfect Frames,077-7765272,4.8,11,74462,Modern Elegance,077-8778317,4.7,10,278401,1729,Elite Catering,077-8791214,4.8,16,152362,011-5793130,0,N/A,N/A,0,0,0,N/A,N/A,0,0,48304,666355,"100,463",4138,No,No,Paid,152206
EV0465,Anniversary,Anuradhapura,Garden Venue,Garden Venue - Anuradhapura,121,Peak Season (Dec-Jan),04/12/2025,6,48452,Dream Shots,077-6092256,4.3,5,90610,Dream Decorations,077-5658522,4.5,7,132537,1095,Heritage Foods,077-4820831,4.7,13,128569,011-3593383,40000,DJ Paradise,077-9162698,4.7,11,0,N/A,N/A,0,0,21812,475121,"100,464",3926,Yes,No,Partial,136156
EV0466,Birthday,Matara,Hotel Ballroom,Hotel Ballroom - Matara,75,Regular Season,26/01/2024,8,37928,Creative Lens Studio,077-3044259,4.5,8,43198,Flower Paradise,077-3171442,4.8,12,105682,1409,Flavors Catering,077-9885829,4.4,7,281589,011-4364724,46407,Live Band Entertainment,077-6722662,4.9,15,78448,Video Art Studio,077-7263852,4.5,7,33391,649076,"100,465",8654,Yes,Yes,Paid,177790
EV0467,Anniversary,Galle,Home Garden,Home Garden - Galle,134,Peak Season (Dec-Jan),01/01/2024,8,50932,Dream Shots,077-5179188,4.3,5,78751,Royal Events Decor,077-9197145,4.9,15,337358,2517,Divine Dishes,077-8881139,4.6,8,36396,011-9470534,0,N/A,N/A,0,0,81004,Cinematic Dreams,077-1325432,4.8,12,30002,658607,"100,466",4914,No,Yes,Paid,199025
EV0468,Wedding,Anuradhapura,Community Hall,Community Hall - Anuradhapura,191,Peak Season (Dec-Jan),31/03/2024,6,49064,Vision Studios,077-5576112,4.5,7,68580,Stylish Setups,077-6369307,4.5,8,434028,2272,Elite Catering,077-9131878,4.8,16,41826,011-4635434,19190,Celebration Sounds,077-9997791,4.4,6,48871,Cinema Visions,077-4356421,4.8,11,31673,736472,"100,467",3855,Yes,Yes,Paid,288362
EV0469,Engagement,Nuwara Eliya,Restaurant,Restaurant - Nuwara Eliya,95,Peak Season (Dec-Jan),14/12/2024,6,63072,Elite Photography,077-3476564,4.9,15,97548,Luxury Decor,077-8494132,4.8,14,275899,2904,Delicious Bites,077-7409222,4.3,6,116410,011-6657895,90950,Celebration Sounds,077-3633660,4.4,6,74903,Motion Pictures,077-8451420,4.6,9,19705,816145,"100,468",8591,Yes,Yes,Paid,180816
EV0470,Corporate Event,Matara,Convention Center,Convention Center - Matara,230,Off Season (May-Sep),30/11/2025,10,27312,Golden Hour Photography,077-6433875,4.7,13,47829,Stylish Setups,077-7636021,4.5,8,211002,917,Gourmet Lanka,077-3986318,4.9,18,173535,011-4739807,0,N/A,N/A,0,0,60034,Video Art Studio,077-1579384,4.5,7,50658,591389,"100,469",2571,No,Yes,Paid,156601
EV0471,Engagement,Colombo,Hotel Ballroom,Hotel Ballroom - Colombo,113,Regular Season,16/06/2024,3,39690,Perfect Frames,077-7643612,4.8,11,89964,Flower Paradise,077-3600200,4.8,12,179398,1587,Royal Caterers,077-2501119,4.8,15,254249,011-8831381,0,N/A,N/A,0,0,87182,Motion Pictures,077-4477154,4.6,9,50751,739756,"100,470",6546,No,Yes,Partial,171484
EV0472,Corporate Event,Negombo,Hotel Ballroom,Hotel Ballroom - Negombo,215,Peak Season (Dec-Jan),05/03/2025,6,42882,Vision Studios,077-7961516,4.5,7,53241,Elegant Decor,077-2140205,4.6,8,335400,1560,Taste of Ceylon,077-1673270,4.7,12,294110,011-3678765,57423,Rhythm Masters,077-1604073,4.6,9,39076,Epic Moments,077-4503696,4.9,14,54298,836730,"100,471",3891,Yes,Yes,Paid,264865
EV0473,Wedding,Jaffna,Beach Resort,Beach Resort - Jaffna,447,Regular Season,13/04/2024,5,31488,Royal Pictures,077-6487124,4.6,9,68399,Luxury Decor,077-5367811,4.8,14,382520,855,Spice Garden Catering,077-7587279,4.5,10,362356,011-2999650,0,N/A,N/A,0,0,88945,Motion Pictures,077-5787910,4.6,9,24371,974267,"100,472",2179,No,Yes,Partial,200468
EV0474,Engagement,Batticaloa,Convention Center,Convention Center - Batticaloa,127,Off Season (May-Sep),03/03/2024,10,24278,Creative Lens Studio,077-5233438,4.5,8,32983,Elegant Decor,077-4637402,4.6,8,269176,2119,Heritage Foods,077-9574824,4.7,13,136382,011-2199753,0,N/A,N/A,0,0,0,N/A,N/A,0,0,12206,473106,"100,473",3725,No,No,Paid,95790
EV0475,Birthday,Jaffna,Home Garden,Home Garden - Jaffna,122,Peak Season (Dec-Jan),21/03/2025,3,41516,Dream Shots,077-7399181,4.3,5,84933,Modern Elegance,077-3675751,4.7,10,228402,1872,Elite Catering,077-2631293,4.8,16,20498,011-2449107,24441,Music Magic,077-7174850,4.5,7,90483,Video Art Studio,077-4612279,4.5,7,11270,506904,"100,474",4154,Yes,Yes,Paid,199815
EV0476,Corporate Event,Galle,Temple Hall,Temple Hall - Galle,217,Off Season (May-Sep),15/01/2024,8,30239,Sunset Photography,077-1378476,4.8,10,48161,Classic Touch,077-9048449,4.4,6,451794,2082,Taste of Ceylon,077-2061726,4.7,12,21358,011-8135713,42465,Party Beats,077-3571860,4.5,8,71800,Dream Videos,077-4615080,4.7,10,57595,726759,"100,475",3349,Yes,Yes,Paid,203134
EV0477,Anniversary,Colombo,Home Garden,Home Garden - Colombo,150,Peak Season (Dec-Jan),01/03/2024,3,48124,Perfect Frames,077-8303868,4.8,11,132916,Floral Fantasy,077-9196133,4.6,9,195090,1300,Spice Garden Catering,077-4884275,4.5,10,59737,011-8002630,91277,Sound Wave DJs,077-1793470,4.7,10,83102,Video Art Studio,077-5806959,4.5,7,14177,702291,"100,476",4681,Yes,Yes,Paid,152876
EV0478,Corporate Event,Matara,Garden Venue,Garden Venue - Matara,145,Off Season (May-Sep),29/09/2025,8,33999,Royal Pictures,077-3309241,4.6,9,52989,Luxury Decor,077-6583525,4.8,14,184382,1271,Delicious Bites,077-7017462,4.3,6,120402,011-7414545,51399,Elite Entertainment,077-8827496,4.8,12,58975,Dream Videos,077-8562644,4.7,10,42121,544615,"100,477",3755,Yes,Yes,Paid,205836
EV0479,Corporate Event,Batticaloa,Garden Venue,Garden Venue - Batticaloa,203,Regular Season,15/02/2024,4,28569,Royal Pictures,077-6618685,4.6,9,67887,Luxury Decor,077-9207078,4.8,14,294329,1449,Spice Garden Catering,077-2961614,4.5,10,175894,011-4730385,18237,Elite Entertainment,077-7263305,4.8,12,42023,Perfect Motion,077-7626337,4.4,6,41466,733870,"100,478",3615,Yes,Yes,Partial,178927
EV0480,Corporate Event,Anuradhapura,Beach Resort,Beach Resort - Anuradhapura,107,Regular Season,02/12/2025,3,39454,Perfect Frames,077-3031310,4.8,11,35210,Dream Decorations,077-4474350,4.5,7,184393,1723,Divine Dishes,077-4115765,4.6,8,160481,011-8942886,58736,Sound Wave DJs,077-2196822,4.7,10,34512,Perfect Motion,077-2124440,4.4,6,21391,510790,"100,479",4773,Yes,Yes,Paid,148394
EV0481,Wedding,Anuradhapura,Temple Hall,Temple Hall - Anuradhapura,155,Off Season (May-Sep),09/04/2025,10,25702,Golden Hour Photography,077-7438345,4.7,13,40300,Classic Touch,077-2644281,4.4,6,246938,1593,Flavors Catering,077-8091757,4.4,7,17817,011-7776321,0,N/A,N/A,0,0,0,N/A,N/A,0,0,11432,357491,"100,480",2306,No,No,Paid,139358
EV0482,Anniversary,Colombo,Hotel Ballroom,Hotel Ballroom - Colombo,164,Off Season (May-Sep),06/01/2024,12,39317,Creative Lens Studio,077-7888843,4.5,8,92184,Stylish Setups,077-2593059,4.5,8,520044,3171,Gourmet Lanka,077-1172703,4.9,18,339734,011-7736329,56424,Party Beats,077-3153928,4.5,8,0,N/A,N/A,0,0,64702,1157167,"100,481",7055,Yes,No,Paid,447948
EV0483,Anniversary,Galle,Garden Venue,Garden Venue - Galle,158,Regular Season,23/01/2024,4,53028,Candid Clicks,077-2288836,4.4,6,45253,Creative Designs,077-4340730,4.3,5,422618,2674,Heritage Foods,077-9089070,4.7,13,123354,011-6078939,57559,Sound Wave DJs,077-5178242,4.7,10,0,N/A,N/A,0,0,20624,826259,"100,482",5229,Yes,No,Paid,229254
EV0484,Birthday,Anuradhapura,Restaurant,Restaurant - Anuradhapura,53,Peak Season (Dec-Jan),11/01/2024,6,48868,Elite Photography,077-9810978,4.9,15,93768,Modern Elegance,077-7178852,4.7,10,52212,985,Feast Makers,077-2783889,4.6,9,181593,011-5511677,0,N/A,N/A,0,0,0,N/A,N/A,0,0,32328,390009,"100,483",7358,No,No,Partial,80617
EV0485,Anniversary,Batticaloa,Temple Hall,Temple Hall - Batticaloa,57,Regular Season,04/06/2024,5,34335,Creative Lens Studio,077-4112344,4.5,8,56910,Flower Paradise,077-7933281,4.8,12,66587,1168,Gourmet Lanka,077-2943637,4.9,18,29016,011-6694823,0,N/A,N/A,0,0,59199,Epic Moments,077-1666991,4.9,14,31018,289692,"100,484",5082,No,Yes,Paid,69667
EV0486,Corporate Event,Kandy,Temple Hall,Temple Hall - Kandy,52,Regular Season,23/08/2024,4,48516,Royal Pictures,077-7507169,4.6,9,84687,Elegant Decor,077-2189815,4.6,8,80371,1545,Delicious Bites,077-3451359,4.3,6,41364,011-7595892,73045,Sound Wave DJs,077-3129961,4.7,10,70279,Cinema Visions,077-9554163,4.8,11,47545,432347,"100,485",8314,Yes,Yes,Paid,160935
EV0487,Wedding,Matara,Beach Resort,Beach Resort - Matara,439,Regular Season,10/05/2025,10,36960,Moments Captured,077-9042423,4.7,12,62296,Royal Events Decor,077-9548784,4.9,15,445233,1014,Heritage Foods,077-7820472,4.7,13,177372,011-7419384,0,N/A,N/A,0,0,0,N/A,N/A,0,0,54717,878699,"100,486",2001,No,No,Paid,218152
EV0488,Engagement,Kurunegala,Beach Resort,Beach Resort - Kurunegala,190,Off Season (May-Sep),16/04/2024,5,23613,Golden Hour Photography,077-8883813,4.7,13,64742,Elegant Decor,077-9580538,4.6,8,454290,2391,Heritage Foods,077-9183716,4.7,13,270418,011-5238789,39889,Party Beats,077-3302963,4.5,8,0,N/A,N/A,0,0,45080,1018247,"100,487",5359,Yes,No,Partial,272294
EV0489,Anniversary,Jaffna,Beach Resort,Beach Resort - Jaffna,104,Regular Season,08/04/2024,12,37403,Candid Clicks,077-5949535,4.4,6,47974,Classic Touch,077-4187101,4.4,6,213922,2056,Gourmet Lanka,077-7064744,4.9,18,253428,011-7977898,0,N/A,N/A,0,0,60665,Dream Videos,077-6387876,4.7,10,23460,622749,"100,488",5987,No,Yes,Paid,223944
EV0490,Engagement,Batticaloa,Beach Resort,Beach Resort - Batticaloa,154,Peak Season (Dec-Jan),12/04/2025,3,48302,Elite Photography,077-7594804,4.9,15,63852,Royal Events Decor,077-1054812,4.9,15,180595,1172,Feast Makers,077-2116463,4.6,9,324051,011-3584843,53741,DJ Paradise,077-5275016,4.7,11,0,N/A,N/A,0,0,13248,781777,"100,489",5076,Yes,No,Partial,227459
EV0491,Engagement,Nuwara Eliya,Temple Hall,Temple Hall - Nuwara Eliya,130,Off Season (May-Sep),26/06/2024,5,31537,Candid Clicks,077-2608777,4.4,6,67646,Elegant Decor,077-8101189,4.6,8,286455,2203,Heritage Foods,077-4437529,4.7,13,48266,011-2335019,49628,Live Band Entertainment,077-2004617,4.9,15,48154,Video Art Studio,077-1165357,4.5,7,59728,576915,"100,490",4437,Yes,Yes,Paid,154336
EV0492,Engagement,Kurunegala,Temple Hall,Temple Hall - Kurunegala,141,Off Season (May-Sep),24/09/2025,8,31097,Elite Photography,077-5525304,4.9,15,38666,Royal Events Decor,077-9158040,4.9,15,156510,1110,Feast Makers,077-3089825,4.6,9,26571,011-2802652,60389,Celebration Sounds,077-5130432,4.4,6,31142,Video Art Studio,077-7818297,4.5,7,20511,400678,"100,491",2841,Yes,Yes,Paid,99530
EV0493,Engagement,Kandy,Convention Center,Convention Center - Kandy,151,Peak Season (Dec-Jan),03/12/2025,8,65769,Creative Lens Studio,077-4441489,4.5,8,103607,Elegant Decor,077-9246334,4.6,8,276277,1829,Divine Dishes,077-8325776,4.6,8,188833,011-8623542,89933,Celebration Sounds,077-9790177,4.4,6,63475,Epic Moments,077-6742652,4.9,14,40151,913342,"100,492",6048,Yes,Yes,Paid,186452
EV0494,Engagement,Nuwara Eliya,Home Garden,Home Garden - Nuwara Eliya,235,Off Season (May-Sep),03/12/2024,8,41299,Elite Photography,077-1407283,4.9,15,45343,Modern Elegance,077-5094863,4.7,10,737171,3136,Spice Garden Catering,077-2085401,4.5,10,34589,011-5793712,102544,Party Beats,077-1367073,4.5,8,0,N/A,N/A,0,0,32670,1118360,"100,493",4758,Yes,No,Partial,351535
EV0495,Corporate Event,Anuradhapura,Home Garden,Home Garden - Anuradhapura,161,Peak Season (Dec-Jan),01/12/2024,5,44966,Perfect Frames,077-4834939,4.8,11,55547,Floral Fantasy,077-2509488,4.6,9,206635,1283,Royal Caterers,077-3663444,4.8,15,60382,011-2774912,69438,Music Magic,077-1839952,4.5,7,40684,Dream Videos,077-5200865,4.7,10,11759,469636,"100,494",2916,Yes,Yes,Paid,143262
EV0496,Corporate Event,Matara,Restaurant,Restaurant - Matara,86,Peak Season (Dec-Jan),08/07/2025,4,50350,Dream Shots,077-4278016,4.3,5,58515,Classic Touch,077-2292642,4.4,6,176523,2052,Spice Garden Catering,077-2130484,4.5,10,187884,011-8483020,0,N/A,N/A,0,0,66899,Epic Moments,077-2703060,4.9,14,41512,554597,"100,495",6448,No,Yes,Paid,201572
EV0497,Birthday,Batticaloa,Home Garden,Home Garden - Batticaloa,100,Peak Season (Dec-Jan),13/08/2025,4,29584,Royal Pictures,077-7160440,4.6,9,60056,Dream Decorations,077-5685491,4.5,7,103590,1035,Spice Garden Catering,077-8757872,4.5,10,47745,011-4061826,20851,Elite Entertainment,077-8632696,4.8,12,54666,Motion Pictures,077-3938445,4.6,9,18195,375631,"100,496",3756,Yes,Yes,Paid,128723
EV0498,Birthday,Nuwara Eliya,Beach Resort,Beach Resort - Nuwara Eliya,78,Peak Season (Dec-Jan),13/04/2025,8,69381,Moments Captured,077-3800042,4.7,12,125739,Elegant Decor,077-9441498,4.6,8,237681,3047,Gourmet Lanka,077-9384022,4.9,18,497301,011-3058976,87201,Live Band Entertainment,077-1610970,4.9,15,110362,Video Art Studio,077-4471088,4.5,7,47521,1336626,"100,497",17136,Yes,Yes,Paid,427666
EV0499,Corporate Event,Kurunegala,Temple Hall,Temple Hall - Kurunegala,147,Peak Season (Dec-Jan),08/05/2025,6,53254,Dream Shots,077-7698122,4.3,5,55928,Classic Touch,077-8824038,4.4,6,343392,2336,Flavors Catering,077-8804839,4.4,7,37913,011-5116930,0,N/A,N/A,0,0,39326,Dream Videos,077-4434168,4.7,10,11073,541201,"100,498",3681,No,Yes,Partial,122356
EV0500,Wedding,Negombo,Beach Resort,Beach Resort - Negombo,301,Peak Season (Dec-Jan),12/02/2025,8,63701,Royal Pictures,077-2699577,4.6,9,57068,Elegant Decor,077-3448450,4.6,8,761906,2531,Flavors Catering,077-5523281,4.4,7,394876,011-2502368,52152,Live Band Entertainment,077-1414120,4.9,15,0,N/A,N/A,0,0,28348,1335220,"100,499",4435,Yes,No,Paid,435461
EV0501,Corporate Event,Colombo,Temple Hall,Temple Hall - Colombo,135,Off Season (May-Sep),26/07/2024,3,44097,Golden Hour Photography,077-3572450,4.7,13,39669,Stylish Setups,077-7340529,4.5,8,461160,3416,Flavors Catering,077-6539032,4.4,7,57599,011-7541650,99500,DJ Paradise,077-8379650,4.7,11,92278,Dream Videos,077-5481292,4.7,10,65962,989071,"100,500",7326,Yes,Yes,Paid,225945
EV0502,Birthday,Galle,Temple Hall,Temple Hall - Galle,65,Regular Season,30/03/2025,10,30475,Dream Shots,077-2108790,4.3,5,46454,Royal Events Decor,077-4675794,4.9,15,93444,1437,Taste of Ceylon,077-8856881,4.7,12,67021,011-9676700,29208,Sound Wave DJs,077-3778372,4.7,10,48849,Dream Videos,077-9279258,4.7,10,14946,345771,"100,501",5319,Yes,Yes,Paid,74684
EV0503,Anniversary,Jaffna,Community Hall,Community Hall - Jaffna,160,Regular Season,24/01/2025,8,37483,Candid Clicks,077-7789891,4.4,6,67743,Creative Designs,077-1860445,4.3,5,187824,1173,Delicious Bites,077-6038910,4.3,6,50696,011-8724927,50855,DJ Paradise,077-5322520,4.7,11,64762,Cinematic Dreams,077-2786719,4.8,12,29229,493533,"100,502",3084,Yes,Yes,Paid,153490
EV0504,Birthday,Negombo,Garden Venue,Garden Venue - Negombo,148,Off Season (May-Sep),10/10/2024,4,40483,Creative Lens Studio,077-1513307,4.5,8,61070,Luxury Decor,077-6599997,4.8,14,362600,2450,Delicious Bites,077-7213946,4.3,6,96297,011-2991754,0,N/A,N/A,0,0,73186,Epic Moments,077-6167506,4.9,14,45752,701702,"100,503",4741,No,Yes,Paid,208618
EV0505,Anniversary,Anuradhapura,Convention Center,Convention Center - Anuradhapura,143,Regular Season,09/08/2024,3,28882,Dream Shots,077-3548252,4.3,5,49425,Royal Events Decor,077-1861640,4.9,15,152967,1069,Gourmet Lanka,077-1035018,4.9,18,188848,011-5952780,28341,Rhythm Masters,077-3979181,4.6,9,62142,Video Art Studio,077-1548357,4.5,7,36179,621624,"100,504",4347,Yes,Yes,Paid,160555
EV0506,Corporate Event,Jaffna,Beach Resort,Beach Resort - Jaffna,60,Regular Season,14/10/2025,12,46303,Moments Captured,077-3325590,4.7,12,37165,Classic Touch,077-2089554,4.4,6,55440,924,Flavors Catering,077-8756720,4.4,7,157557,011-7084903,0,N/A,N/A,0,0,51553,Cinema Visions,077-5361777,4.8,11,46700,423353,"100,505",7055,No,Yes,Paid,139153
EV0507,Engagement,Galle,Convention Center,Convention Center - Galle,152,Off Season (May-Sep),19/11/2025,3,41297,Sunset Photography,077-2974982,4.8,10,60848,Floral Fantasy,077-3477658,4.6,9,279801,1840,Flavors Catering,077-2806478,4.4,7,209246,011-5765815,60276,Elite Entertainment,077-3115770,4.8,12,47695,Cinematic Dreams,077-3505288,4.8,12,24206,695699,"100,506",4576,Yes,Yes,Paid,178443
EV0508,Corporate Event,Jaffna,Convention Center,Convention Center - Jaffna,233,Regular Season,06/11/2025,3,45245,Perfect Frames,077-5230911,4.8,11,81690,Floral Fantasy,077-7535716,4.6,9,490033,2103,Heritage Foods,077-4129999,4.7,13,235255,011-8815901,0,N/A,N/A,0,0,55245,Cinematic Dreams,077-9348626,4.8,12,15045,1031576,"100,507",4427,No,Yes,Partial,342138
EV0509,Anniversary,Jaffna,Garden Venue,Garden Venue - Jaffna,123,Off Season (May-Sep),25/06/2025,6,27113,Dream Shots,077-1154772,4.3,5,41432,Modern Elegance,077-7052003,4.7,10,213226,1733,Feast Makers,077-6753964,4.6,9,173819,011-8712636,55086,Elite Entertainment,077-7258302,4.8,12,50619,Cinema Visions,077-6656938,4.8,11,24417,560930,"100,508",4560,Yes,Yes,Paid,123920
EV0510,Engagement,Negombo,Garden Venue,Garden Venue - Negombo,165,Peak Season (Dec-Jan),20/01/2025,3,72067,Vision Studios,077-2053583,4.5,7,113974,Classic Touch,077-8961083,4.4,6,423431,2566,Delicious Bites,077-8000211,4.3,6,293941,011-9793422,28646,Music Magic,077-8776962,4.5,7,0,N/A,N/A,0,0,35805,998320,"100,509",6050,Yes,No,Paid,383971
EV0511,Engagement,Negombo,Restaurant,Restaurant - Negombo,156,Off Season (May-Sep),26/06/2024,12,35800,Sunset Photography,077-7991989,4.8,10,32172,Royal Events Decor,077-1274196,4.9,15,367770,2357,Feast Makers,077-9417998,4.6,9,86405,011-9285891,90731,Celebration Sounds,077-6137252,4.4,6,103305,Epic Moments,077-1858921,4.9,14,34915,848664,"100,510",5440,Yes,Yes,Partial,337576
EV0512,Birthday,Batticaloa,Restaurant,Restaurant - Batticaloa,129,Regular Season,06/07/2025,10,38574,Creative Lens Studio,077-5313296,4.5,8,65698,Royal Events Decor,077-7972202,4.9,15,140481,1089,Heritage Foods,077-3715584,4.7,13,83783,011-9599697,25659,DJ Paradise,077-8154633,4.7,11,71201,Motion Pictures,077-4424117,4.6,9,24228,453429,"100,511",3514,Yes,Yes,Paid,123462
EV0513,Corporate Event,Kurunegala,Beach Resort,Beach Resort - Kurunegala,69,Regular Season,02/10/2025,5,33849,Moments Captured,077-6926386,4.7,12,41729,Flower Paradise,077-3959476,4.8,12,71208,1032,Taste of Ceylon,077-7507557,4.7,12,238481,011-8766267,0,N/A,N/A,0,0,70263,Cinema Visions,077-4175929,4.8,11,28238,535918,"100,512",7766,No,Yes,Paid,184925
